domain	phylum	class	order	family	genus	species	gram_stain	shape	
Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonas	rosea	n		
Bacteria	Actinobacteria	Actinomycetales		Intrasporangiaceae	Kribbia	fodinibacter luteus	p		
Bacteria	Actinobacteria	Actinomycetales		Intrasporangiaceae	Marihabitans	asiaticum	p		
Bacteria	Actinobacteria	Actinomycetales	Actinomycetales	Streptosporangiaceae	Microbiospora	corallina			
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	diplobacilli		rod	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	lacunata		rod	
Bacteria	Actinobacteria	Actinomycetales		Intrasporangiaceae	Ornithinibacter	aureus	p	rod	aerobic
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Sarcina	lutea	p		
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Sarcina	troglodytae	p		
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Sarcina	maxima	p		
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Sarcina	aurantiaca	p		
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Sarcina	ventriculi	p		
Bacteria	Firmicutes	Erysipeltrichi	Erysipelotrichales	Erysipelotrichidae	Solobacterium	moorei	p		anaerobic
