DATE,MICROORGANISM,ANTIMICROBIAL,ISOLATES,R,USE,USE_PERIOD
Q2 2011,E. Coli,AMINOPENICILLINS,329,139,300,1000
Q2 2011,E. Coli,B-LACTAM INCREASED ACTIVITY,554,72,250,1000
Q2 2011,E. Coli,G3 CEPHALOSPORINS,287,3,100,1000
Q2 2011,E. Coli,QUINOLONES SYSTEMIC,293,41, 250,1000
Q2 2011,E. Coli,SULFA & TRIMETH COMB,334,75,100,1000
Q3 2011,E. Coli,AMINOPENICILLINS,231,101,250,1100
Q3 2011,E. Coli,B-LACTAM INCREASED ACTIVITY,408,54,300,1100
Q3 2011,E. Coli,G3 CEPHALOSPORINS,211,3,150,1100
Q3 2011,E. Coli,QUINOLONES SYSTEMIC,218,36,300,1100
Q3 2011,E. Coli,SULFA & TRIMETH COMB,236,55,100,1100
